SU,Site,WaveHeight
989184,Daytona,1.150729159
991232,Daytona,1.272198267
993280,Daytona,1.127235353
995328,Daytona,1.239060115
997376,Daytona,1.131951932
999424,Daytona,1.189450829
1001472,Daytona,1.153276023
1003520,Daytona,1.043564227
1005568,Daytona,1.063277488
1007616,Daytona,1.232211076
1009664,Daytona,1.078860426
1011712,Daytona,1.199092438
1013760,Daytona,1.090339551
1015808,Daytona,1.180508917
1017856,Daytona,1.107491664
1019904,Daytona,1.208821562
1021952,Daytona,1.060852445
1024000,Daytona,1.340605289
1026048,Daytona,1.095669021
1028096,Daytona,1.337041888
1030144,Daytona,1.251861376
1032192,Daytona,1.145824012
1034240,Daytona,1.254799197
1036288,Daytona,1.222679645
1038336,Daytona,1.069644128
1040384,Daytona,1.097964889
1042432,Daytona,1.383118672
1044480,Daytona,1.32758832
1046528,Daytona,1.09094334
1048576,Daytona,1.195520098
1050624,Daytona,1.160354125
1052672,Daytona,1.136034483
1054720,Daytona,0.979128837
1056768,Daytona,1.160650536
1058816,Daytona,0.9917037
1060864,Daytona,1.110054016
1062912,Daytona,1.009947382
1064960,Daytona,1.042649228
1067008,Daytona,1.074839918
1069056,Daytona,1.235630214
1071104,Daytona,1.238341283
1073152,Daytona,1.106277614
1075200,Daytona,1.07792641
1077248,Daytona,1.189078495
1079296,Daytona,1.091426033
1081344,Daytona,1.243727509
1083392,Daytona,1.183480103
1085440,Daytona,0.995054954
1087488,Daytona,1.133502427
1089536,Daytona,1.185584252
1091584,Daytona,1.11030908
1093632,Daytona,1.112825649
1095680,Daytona,1.227336199
1097728,Daytona,1.069243815
1099776,Daytona,1.295347753
1101824,Daytona,1.212007286
1103872,Daytona,1.199807788
1105920,Daytona,1.144649452
1107968,Daytona,1.123988386
1110016,Daytona,1.082287882
1112064,Daytona,1.165745462
1114112,Daytona,1.002074963
1116160,Daytona,1.229699924
1118208,Daytona,1.087131087
1120256,Daytona,1.266883692
1122304,Daytona,1.214540219
1124352,Daytona,1.100827608
1126400,Daytona,1.200779437
1128448,Daytona,1.135768444
1130496,Daytona,1.080397873
1132544,Daytona,1.133614928
1134592,Daytona,1.090981893
1136640,Daytona,1.117440008
1138688,Daytona,1.119786385
1140736,Daytona,1.086952173
1142784,Daytona,1.045818425
1144832,Daytona,1.165713118
1146880,Daytona,1.171354528
1148928,Daytona,1.098464713
1150976,Daytona,1.121892322
1153024,Daytona,1.162720873
1155072,Daytona,1.082271368
1157120,Daytona,1.116619181
1159168,Daytona,1.132064352
1161216,Daytona,1.098643806
1163264,Daytona,1.070127869
1165312,Daytona,1.079150082
1167360,Daytona,1.215563555
1169408,Daytona,1.045336385
1171456,Daytona,1.01485928
1173504,Daytona,1.093323936
1175552,Daytona,1.021682914
1177600,Daytona,1.009215258
1179648,Daytona,1.009344344
1181696,Daytona,1.030982028
1183744,Daytona,1.100817647
1185792,Daytona,1.139766098
1187840,Daytona,1.008627932
1189888,Daytona,1.013007155
1191936,Daytona,1.07208379
1193984,Daytona,1.013434609
1196032,Daytona,0.994864065
1198080,Daytona,1.042015843
1200128,Daytona,0.973033358
1202176,Daytona,0.988397682
1204224,Daytona,0.989944722
1206272,Daytona,0.990314359
1208320,Daytona,1.004317868
1210368,Daytona,0.938419089
1212416,Daytona,1.073862987
1214464,Daytona,0.960653667
1216512,Daytona,1.16134203
1218560,Daytona,1.034391859
1220608,Daytona,0.985337983
1222656,Daytona,0.950384933
1224704,Daytona,1.008082065
1226752,Daytona,1.057438984
1228800,Daytona,1.012405334
1230848,Daytona,1.100782802
1232896,Daytona,1.056091316
1234944,Daytona,1.085260754
1236992,Daytona,0.990938314
1239040,Daytona,1.01394151
1241088,Daytona,1.00159529
1243136,Daytona,1.088841786
1245184,Daytona,1.000262475
1247232,Daytona,0.970236352
1249280,Daytona,1.10119286
1251328,Daytona,1.081172633
1253376,Daytona,1.003472781
1255424,Daytona,1.072098366
1257472,Daytona,1.065360963
1259520,Daytona,1.100468564
1261568,Daytona,0.928206998
1263616,Daytona,1.094130577
1265664,Daytona,0.972253011
1267712,Daytona,1.009718947
1269760,Daytona,0.999930235
1271808,Daytona,1.011944311
1273856,Daytona,0.927475821
1275904,Daytona,0.910540664
1277952,Daytona,1.025476757
1280000,Daytona,0.935406607
1282048,Daytona,0.995112727
1284096,Daytona,1.046333272
1286144,Daytona,0.927187864
1288192,Daytona,0.925548797
1290240,Daytona,0.945557759
1292288,Daytona,0.934457422
1294336,Daytona,1.078563996
1296384,Daytona,0.81053651
1298432,Daytona,0.907393722
1300480,Daytona,1.015815473
1302528,Daytona,1.060936001
1304576,Daytona,1.029092283
1306624,Daytona,0.9345165
1308672,Daytona,1.019330372
1310720,Daytona,0.956383025
1312768,Daytona,0.956500775
1314816,Daytona,0.892010883
1316864,Daytona,0.925672317
1318912,Daytona,0.954070637
1320960,Daytona,0.886102501
1323008,Daytona,0.971402826
1325056,Daytona,0.956627284
1327104,Daytona,0.884036918
1329152,Daytona,0.858668007
1331200,Daytona,0.9264789
1333248,Daytona,0.791332153
1335296,Daytona,0.86665918
1337344,Daytona,0.82930414
1339392,Daytona,0.839961097
1341440,Daytona,0.798595624
1343488,Daytona,0.742855379
1345536,Daytona,0.794468843
1347584,Daytona,0.74697793
1349632,Daytona,0.753779641
1351680,Daytona,0.679280515
1353728,Daytona,0.673971233
1355776,Daytona,0.805586405
1357824,Daytona,0.670247469
1359872,Daytona,0.800494257
1361920,Daytona,0.811840591
1363968,Daytona,0.787688407
1366016,Daytona,0.716136875
1368064,Daytona,0.706287495
1370112,Daytona,0.630577677
1372160,Daytona,0.691037431
1374208,Daytona,0.754268598
1376256,Daytona,0.661249996
1378304,Daytona,0.70551894
1380352,Daytona,0.733596685
1382400,Daytona,0.672443348
1384448,Daytona,0.709249477
1386496,Daytona,0.713398451
1388544,Daytona,0.669303655
1390592,Daytona,0.78607093
1392640,Daytona,0.744526854
1394688,Daytona,0.716404178
1396736,Daytona,0.704275611
1398784,Daytona,0.752215714
1400832,Daytona,0.774236879
1402880,Daytona,0.752690532
1404928,Daytona,0.74444165
1406976,Daytona,0.730798949
1409024,Daytona,0.803032994
1411072,Daytona,0.800209147
1413120,Daytona,0.765596835
1415168,Daytona,0.692912443
1417216,Daytona,0.707255866
1419264,Daytona,0.689919016
1421312,Daytona,0.704189499
1423360,Daytona,0.663588323
1425408,Daytona,0.674864407
1427456,Daytona,0.724566098
1429504,Daytona,0.620781487
1431552,Daytona,0.581475776
1433600,Daytona,0.658702415
1435648,Daytona,0.621808577
1437696,Daytona,0.611740427
1439744,Daytona,0.615675392
1441792,Daytona,0.594064583
1443840,Daytona,0.70119242
1445888,Daytona,0.65269234
1447936,Daytona,0.667731849
1449984,Daytona,0.725991102
1452032,Daytona,0.73589286
1454080,Daytona,0.737771216
1456128,Daytona,0.698867085
1458176,Daytona,0.679221112
1460224,Daytona,0.680529541
1462272,Daytona,0.649152158
1464320,Daytona,0.632594277
1466368,Daytona,0.61706789
1468416,Daytona,0.714141607
1470464,Daytona,0.649579626
1472512,Daytona,0.65378985
1474560,Daytona,0.654496865
1476608,Daytona,0.580502939
1478656,Daytona,0.671444081
1480704,Daytona,0.658210419
1482752,Daytona,0.62254753
1484800,Daytona,0.699049331
1486848,Daytona,0.73375891
1488896,Daytona,0.738234263
1490944,Daytona,0.668074193
1492992,Daytona,0.65617034
1495040,Daytona,0.69230054
1497088,Daytona,0.671245144
1499136,Daytona,0.719366812
1501184,Daytona,0.775250327
1503232,Daytona,0.708267113
1505280,Daytona,0.73446158
1507328,Daytona,0.763325673
1509376,Daytona,0.763863576
1511424,Daytona,0.793574882
1513472,Daytona,0.794255037
1515520,Daytona,0.810967083
1517568,Daytona,0.883247342
1519616,Daytona,0.768590893
1521664,Daytona,0.753945988
1523712,Daytona,0.830523348
1525760,Daytona,0.753245802
1527808,Daytona,0.784070056
1529856,Daytona,0.799392581
1531904,Daytona,0.769123715
1533952,Daytona,0.83286577
1536000,Daytona,0.859464252
1538048,Daytona,0.806203726
1540096,Daytona,0.866230508
1542144,Daytona,0.807407415
1544192,Daytona,0.931884089
1546240,Daytona,0.835095993
1548288,Daytona,0.831117153
1550336,Daytona,0.938941393
1552384,Daytona,0.852805137
1554432,Daytona,0.801194723
1556480,Daytona,0.831639251
1558528,Daytona,0.965498377
1560576,Daytona,0.911058714
1562624,Daytona,0.892993484
1564672,Daytona,0.798172943
1566720,Daytona,0.801709835
1568768,Daytona,0.889502735
1570816,Daytona,0.836257578
1572864,Daytona,0.86798712
1574912,Daytona,0.9110122
1576960,Daytona,0.744049913
1579008,Daytona,0.777672205
1581056,Daytona,0.880206798
1583104,Daytona,0.876720976
1585152,Daytona,1.033651527
1587200,Daytona,0.897625182
1589248,Daytona,0.836810426
1591296,Daytona,0.794242755
1593344,Daytona,0.868775054
1595392,Daytona,0.937166064
1597440,Daytona,0.858335643
1599488,Daytona,0.935131009
1601536,Daytona,0.96641136
1603584,Daytona,0.726620335
1605632,Daytona,0.847928415
