"","spp","x","y"
"1","PatMin",-0.0924117386875369,0.167116349518383
"2","MesFra",0.102540735212463,0.0619838422500887
"3","StrPur",0.118546485391829,-0.0333440943636562
"4","MegUnd",0.204996116652036,-0.189116729303262
"5","DerImb",-0.0456167309572829,0.192620862646098
"6","PisGig",0.0501774241103789,0.133586645798123
"7","PycHel",0.0586719427339981,0.262696351085873
"8","SteOsm",-0.171856188440212,-0.136755329186012
"9","LamSpp",-0.224352886670837,-0.0766619060740432
"10","MacJuv",-0.258782527907412,0.0457723722990637
"11","LamJuv",-0.262201137922103,-0.0179797601138388
"12","EisArb",-0.148907984295567,-0.0476028458867857
"13","PteCal",-0.342039785700791,-0.10737747431995
"14","MacPyr",-0.178979712723991,0.0576079201545049
