Period,Station,Years,SumAdultCount
55,4,2007,7
55,5,2007,26
55,6,2007,17
55,7,2007,0
56,4,2008,3
56,5,2008,8
57,1,2008,5
57,2,2008,6
57,3,2008,6
57,4,2008,14
57,5,2008,15
57,6,2008,4
57,7,2008,0
60,2,2010,7
60,3,2010,11
60,4,2010,22
60,5,2010,11
60,6,2010,10
61,1,2010,16
61,2,2010,13
61,3,2010,5
61,4,2010,33
61,5,2010,23
61,6,2010,18
61,7,2010,0
63,1,2011,18
63,2,2011,20
63,3,2011,32
63,4,2011,46
63,5,2011,67
63,6,2011,26
63,7,2011,0
64,1,2012,7
64,4,2012,10
64,5,2012,11
64,6,2012,10
65,1,2012,28
65,2,2012,8
65,3,2012,12
65,4,2012,61
65,5,2012,52
65,6,2012,39
67,1,2013,18
67,2,2013,6
67,3,2013,7
67,4,2013,48
67,5,2013,52
67,6,2013,24
67,7,2013,0
68,1,2014,23
68,2,2014,18
68,3,2014,13
68,4,2014,27
68,5,2014,31
68,6,2014,37
68,7,2014,0
69,1,2014,20
69,2,2014,15
69,3,2014,18
69,4,2014,41
69,5,2014,38
69,6,2014,42
70,1,2015,3
70,2,2015,10
70,3,2015,3
70,4,2015,44
70,5,2015,44
70,6,2015,60
70,7,2015,0
71,1,2015,27
71,2,2015,22
71,3,2015,14
71,4,2015,85
71,5,2015,122
71,6,2015,31
72,1,2016,19
72,2,2016,13
72,3,2016,2
72,4,2016,29
72,5,2016,72
72,6,2016,43
72,7,2016,0
73,1,2016,33
73,2,2016,13
73,3,2016,13
73,4,2016,50
73,5,2016,101
73,6,2016,69
73,7,2016,0
74,1,2017,22
74,2,2017,22
74,3,2017,17
74,4,2017,47
74,5,2017,70
74,6,2017,42
74,7,2017,0
75,1,2017,20
75,2,2017,11
75,3,2017,8
75,4,2017,44
75,5,2017,112
75,6,2017,38
75,7,2017,2
76,1,2018,41
76,2,2018,26
76,3,2018,20
76,4,2018,58
76,5,2018,132
76,6,2018,46
76,7,2018,0
